Left Elbow,Right Elbow,Left Knee,Right Knee
28.92765618,63.49431272,77.70230093,65.26195739
66.19605,95.21976731,73.15115122,56.02850126
48.0365069,80.14879743,69.83958427,46.8213399
47.21380429,111.5222868,70.35092962,56.80481892
38.96479717,98.97488159,76.08469466,59.64847136
40.87972496,99.2330051,80.59016839,53.55143513
109.9356121,26.65358262,85.69906196,69.75503856
80.84657708,22.14158057,80.49142293,82.43495069
106.9965964,11.44916889,75.14513455,67.64790839
102.8203071,81.70882633,79.95851949,66.71797765
113.8242496,131.3029449,83.61089827,81.78854625
75.57112551,107.4589855,63.01092287,83.89122242
84.88190555,122.3564314,57.66175465,79.72111615
61.67269044,107.8346187,80.64580461,82.70279245
39.30602259,91.69323492,82.59270968,81.24982313
32.21180232,26.82882816,80.42995224,78.68016611
59.65438601,24.87895418,83.00876888,86.71785894
101.1159495,23.60914526,86.22712532,86.34243512
110.5414959,44.35331526,46.63900282,71.18321042
133.4301314,47.72585872,20.17011123,71.72166794
124.0078075,98.63880899,25.74918396,64.78539517
119.3246277,72.11276364,35.22342605,59.92974421
108.2151235,107.6647962,62.48947225,67.97346007
104.1043146,118.1553809,60.19923038,68.60996565
94.08126402,100.429003,60.2549344,63.53192127
68.70397679,115.5824224,54.11453469,71.44841028
58.65069147,106.2650143,70.39158385,72.8078266
24.2276072,92.02950236,81.55697119,83.64914665
22.72152077,113.3818167,98.14505273,87.04569645
20.48073593,103.2752171,97.78875801,86.34367755
31.42026749,86.82063512,85.90947087,76.22400093
50.40091754,81.23999267,84.5256804,63.44426084
66.54553668,114.7383072,78.74754654,67.4437652
70.21751299,120.0299068,63.39002543,60.51965687
93.28682252,146.5195351,63.97534575,41.65913687
74.62206794,118.603825,70.78272616,58.60903779
103.2735621,123.0301383,64.51699892,56.89563917
68.68564301,127.1960725,59.74291138,58.82502374
60.62728418,132.4316708,59.93441246,63.90169674
66.62525448,128.9527967,59.35027802,57.16223757
37.03438743,113.3358638,64.5936758,66.9414218
19.53290165,90.42554867,70.97083924,74.52744349
10.1064254,20.53604611,70.6991078,69.39445628
18.31164654,26.1579804,66.02398411,66.27496076
23.48731161,34.44339857,73.12133922,70.50045155
25.40449515,37.29722913,70.81716822,75.97344356
116.4958596,64.62069287,77.74799606,85.70582952
124.6545079,70.91130154,82.12117139,81.83582886
